Administrative_Duration;Informational_Duration;ProductRelated_Duration;BounceRates;SpecialDay;NewVisitor;PageValues;Revenue
0;0;0;0.2;0;0;0;0
0;0;64;0;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;2.666666667;0.05;0;0;0;0
0;0;627.5;0.02;0;0;0;0
0;0;154.2166667;0.015789474;0;0;0;0
0;0;0;0.2;0.4;0;0;0
0;0;0;0.2;0;0;0;0
0;0;37;0;0.8;0;0;0
0;0;738;0;0.4;0;0;0
0;0;395;0;0;0;0;0
0;0;407.75;0.01875;0.4;0;0;0
0;0;280.5;0;0;0;0;0
0;0;98;0;0;0;0;0
0;0;68;0;0;0;0;0
53;0;1668.285119;0.008333333;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;334.9666667;0;0;0;0;0
0;0;32;0;0;0;0;0
0;0;2981.166667;0;0;0;0;0
0;0;136.1666667;0;1;0;0;0
0;0;0;0.2;0;0;0;0
0;0;105;0;0;0;0;0
0;0;15;0;0.8;0;0;0
0;0;0;0.2;0;0;0;0
0;0;156;0;0;0;0;0
64.6;0;1135.444444;0.002857143;0;0;0;0
0;0;76;0.05;0;0;0;0
0;0;63;0;0.2;0;0;0
6;0;1582.75;0.043478261;0.4;0;54.17976426;0
0;0;35;0;0;0;0;0
0;0;78;0;0;0;0;0
0;0;209.5;0;0;0;0;0
0;0;183.6666667;0.04;0;0;0;0
0;0;380.5;0.014285714;0;0;0;0
0;0;2086.242857;0.015384615;0;0;0;0
0;0;388;0.025;0;0;0;0
18;0;298;0;0.8;0;0;0
0;0;63;0.028571429;0.6;0;0;0
0;0;482;0;0;0;0;0
9;0;4084.393939;0;0;0;0;0
0;0;22;0;0.6;0;0;0
0;0;310.1666667;0;0;0;0;0
0;0;34;0;0.4;0;0;0
0;0;88;0;0;0;0;0
0;0;622.25;0.003030303;0.2;0;0;0
0;0;222.4;0.017142857;0;0;0;0
0;0;80;0.066666667;0.2;0;0;0
0;0;800.8333333;0;0;0;0;0
0;0;0;0.2;0.6;0;0;0
0;0;0;0.2;0;0;0;0
0;0;265.1666667;0.011111111;0.2;0;0;0
0;0;29;0;1;0;0;0
0;0;160;0;0;0;0;0
0;0;135.6666667;0.05;0.4;0;0;0
0;0;0;0.2;0.2;0;0;0
0;0;0;0.2;0.6;0;0;0
56;120;998.7416667;0;0.2;0;19.44707913;0
0;0;104;0;0.4;0;0;0
16;0;381.6865079;0.011764706;0.6;0;0;0
0;0;169;0;0.4;0;0;0
0;0;400.8;0.05;0;0;0;0
